"uniqway","year","islet","waypoint","trial_time","poll_species","plant_species","interaction","intyesno","perimeter","area","log_area","alpha"
"HOL-COC-3-2017",2017,"Holei","HOL-COC-3",14:30:00,"Agonoxena argaula","Cocos nucifera","Agonoxena argaula-Cocos nucifera",1,4261,195746,12.1845731794169,"R"
"COO-HEL-7-2017",2017,"Cooper","COO-HEL-7",10:33:00,"Atractomorpha sinensis","Heliotropium foertherianum","Atractomorpha sinensis-Heliotropium foertherianum",1,11918,1116182,13.9254244910642,"T"
"EAS-HEL-5-2017",2017,"Eastern","EAS-HEL-5",10:20:00,"Cadrema pallida","Heliotropium foertherianum","Cadrema pallida-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"SAN-HEL-3-2017",2017,"Sand","SAN-HEL-3",11:17:00,"Cadrema pallida","Heliotropium foertherianum","Cadrema pallida-Heliotropium foertherianum",1,1771,80056,11.2904816687703,"N"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:05:00,"Cadrema pallida","Scaevola taccada","Cadrema pallida-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"EAS-HEL-5-2017",2017,"Eastern","EAS-HEL-5",10:20:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",12:00:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"DUD-SCA-1-2017",2017,"Dudley","DUD-SCA-1",13:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"EAS-HEL-1-2017",2017,"Eastern","EAS-HEL-1",09:18:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:30:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
