plant_order,plant_phylog
Amborellales,1
Nymphaeales,2
Austrobaileyales,3
Chloranthales,4
Canellales,5
Piperales,6
Laurales,7
Magnoliales,8
Acorales,9
Alismatales,10
Dioscoreales,11
Pandanales,12
Liliales,13
Petrosaviales,14
Asparagales,15
Arecales,16
Poales,17
Commelinales,18
Zingiberales,19
Ceratophyllales,20
Ranunculales,21
Proteales,22
Trochodendrales,23
Buxales,24
Gunnerales,25
Dilleniales,26
Saxifragales,27
Vitales,28
Zygophyllales,29
Oxalidales,30
Celastrales,31
Malpighiales,32
Fabales,33
Rosales,34
Cucurbitales,35
Fagales,36
Geraniales,37
Myrtales,38
Crossosomatales,39
Picramniales,40
Sapindales,41
Huerteales,42
Malvales,43
Brassicales,44
Santalales,45
Berberidopsidales,46
Caryophyllales,47
Cornales,48
Ericales,49
Icacinales,50
Metteniusales,51
Garryales,52
Lamiales,53
Vahliales,54
Solanales,55
Gentianales,56
Boraginales,57
Aquifoliales,58
Asterales,59
Escalloniales,60
Bruniales,61
Apiales,62
Paracryphiales,63
Dipsacales,64
