plant_species,Overall_score,Name_matched_id,Name_matched,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,plant_family,plant_order,Overall_score_order,Highertaxa_score_order,Source,Warnings,selected,unique_id
Neisosperma oppositifolia,1,841624,Neisosperma oppositifolia,(Lam.) Fosberg & Sachet,Apocynaceae,Neisosperma,Neisosperma,1,oppositifolia,oppositifolia,Neisosperma oppositifolia,Neisosperma oppositifolia,(Lam.) Fosberg & Sachet,841624,species,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=NEOP,,Apocynaceae,Gentianales,1,1,usda,,TRUE,0
Cocos nucifera,1,36789,Cocos nucifera,L.,Arecaceae,Cocos,Cocos,1,nucifera,nucifera,Cocos nucifera,Cocos nucifera,L.,36789,species,http://www.tropicos.org/Name/2400007;http://www.worldfloraonline.org/taxon/wfo-0000903570;https://wcvp.science.kew.org/taxon/666160-1;https://plants.sc.egov.usda.gov/home/plantProfile?symbol=CONU,,Arecaceae,Arecales,1,1,"tropicos,wfo,wcvp,usda",,TRUE,2
Emilia sonchifolia,1,52578,Emilia sonchifolia,(L.) DC.,Asteraceae,Emilia,Emilia,1,sonchifolia,sonchifolia,Emilia sonchifolia,Emilia sonchifolia,(L.) DC.,52578,species,http://www.tropicos.org/Name/2702414;https://wcvp.science.kew.org/taxon/203080-1;https://plants.sc.egov.usda.gov/home/plantProfile?symbol=EMSO,,Asteraceae,Asterales,1,1,"tropicos,wcvp,usda",,TRUE,3
Synedrella nodiflora,1,53408,Synedrella nodiflora,(L.) Gaertn.,Asteraceae,Synedrella,Synedrella,1,nodiflora,nodiflora,Synedrella nodiflora,Synedrella nodiflora,(L.) Gaertn.,53408,species,http://www.tropicos.org/Name/2703312;http://www.worldfloraonline.org/taxon/wfo-0000075384;https://wcvp.science.kew.org/taxon/252024-1;https://plants.sc.egov.usda.gov/home/plantProfile?symbol=SYNO,,Asteraceae,Asterales,1,1,"tropicos,wfo,wcvp,usda",,TRUE,6
Cordia subcordata,1,100309,Cordia subcordata,Lam.,Cordiaceae,Cordia,Cordia,1,subcordata,subcordata,Cordia subcordata,Cordia subcordata,Lam.,100309,species,http://www.tropicos.org/Name/4000807;http://www.worldfloraonline.org/taxon/wfo-0000621005;https://wcvp.science.kew.org/taxon/114575-1;https://plants.sc.egov.usda.gov/home/plantProfile?symbol=COSU2,,Cordiaceae,Boraginales,1,1,"tropicos,wfo,wcvp,usda",,TRUE,7
Heliotropium foertherianum,1,1262494,Heliotropium foertherianum,Diane & Hilger,Heliotropiaceae,Heliotropium,Heliotropium,1,foertherianum,foertherianum,Heliotropium foertherianum,Heliotropium foertherianum,Diane & Hilger,1262494,species,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=HEFO11,,Heliotropiaceae,Boraginales,1,1,usda,,TRUE,8
Calophyllum inophyllum,1,139306,Calophyllum inophyllum,L.,Calophyllaceae,Calophyllum,Calophyllum,1,inophyllum,inophyllum,Calophyllum inophyllum,Calophyllum inophyllum,L.,139306,species,http://www.tropicos.org/Name/7800684;http://www.worldfloraonline.org/taxon/wfo-0000581184;https://wcvp.science.kew.org/taxon/427190-1;https://plants.sc.egov.usda.gov/home/plantProfile?symbol=CAIN4,,Calophyllaceae,Malpighiales,1,1,"tropicos,wfo,wcvp,usda",,TRUE,11
Carica papaya,1,129980,Carica papaya,L.,Caricaceae,Carica,Carica,1,papaya,papaya,Carica papaya,Carica papaya,L.,129980,species,http://www.tropicos.org/Name/6100032;http://www.worldfloraonline.org/taxon/wfo-0000588009;https://wcvp.science.kew.org/taxon/30011248-2;https://plants.sc.egov.usda.gov/home/plantProfile?symbol=CAPA23,,Caricaceae,Brassicales,1,1,"tropicos,wfo,wcvp,usda",,TRUE,12
Terminalia catappa,1,140755,Terminalia catappa,L.,Combretaceae,Terminalia,Terminalia,1,catappa,catappa,Terminalia catappa,Terminalia catappa,L.,140755,species,http://www.tropicos.org/Name/8200173;http://www.worldfloraonline.org/taxon/wfo-0000406800;https://wcvp.science.kew.org/taxon/171034-1;https://plants.sc.egov.usda.gov/home/plantProfile?symbol=TECA,,Combretaceae,Myrtales,1,1,"tropicos,wfo,wcvp,usda",,TRUE,13
Ipomoea pes-capre,0.960212211,142631,Ipomoea pes-caprae,(L.) R. Br.,Convolvulaceae,Ipomoea,Ipomoea,1,pes-capre,pes-caprae,Ipomoea pes-caprae,Ipomoea pes-caprae,(L.) R. Br.,142631,species,http://www.tropicos.org/Name/8500011;https://plants.sc.egov.usda.gov/home/plantProfile?symbol=IPPE,,Convolvulaceae,Solanales,1,1,"tropicos,usda",,TRUE,14
